GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.fsd.backend.Entity,Project,29,99,0,0,9,25,1,16,1,16
backend,com.fsd.backend.Entity,Task,30,118,0,0,11,30,1,20,1,20
backend,com.fsd.backend.Entity,ParentTask,9,34,0,0,4,9,1,6,1,6
backend,com.fsd.backend.Entity,User,31,55,0,0,8,22,1,13,1,13
backend,com.fsd.backend,BackendApplication,0,8,0,0,0,3,0,2,0,2
backend,com.fsd.backend.Service,TaskService,0,116,0,2,0,33,0,6,0,5
backend,com.fsd.backend.Service,ParentService,0,59,0,0,0,17,0,3,0,3
backend,com.fsd.backend.Service,ProjectService,0,110,0,2,0,31,0,6,0,5
backend,com.fsd.backend.Service,UserService,0,110,0,2,0,31,0,6,0,5
backend,com.fsd.backend.Controller,ParentController,0,66,0,0,0,16,0,3,0,3
backend,com.fsd.backend.Controller,ProjectController,0,155,0,0,0,38,0,6,0,6
backend,com.fsd.backend.Controller,UserController,0,152,0,0,0,37,0,6,0,6
backend,com.fsd.backend.Controller,TaskController,0,152,0,0,0,37,0,6,0,6
